STATE_COUNTY,WHITESPER
IA_JASPER,0.9670000000000001
IA_JEFFERSON,0.8759999999999999
IA_JOHNSON,0.856
IA_JONES,0.9640000000000001
IA_KEOKUK,0.9840000000000001
IA_KOSSUTH,0.9790000000000001
IA_LEE,0.935
IA_LINN,0.9079999999999999
IA_LOUISA,0.902
IA_LUCAS,0.986
IA_LYON,0.9790000000000001
IA_MADISON,0.981
IA_MAHASKA,0.9570000000000001
IA_MARION,0.9670000000000001
IA_MARSHALL,0.887
IA_MILLS,0.972
IA_MITCHELL,0.986
IA_MONONA,0.971
IA_MONROE,0.9740000000000001
IA_MONTGOMERY,0.9740000000000001
IA_MUSCATINE,0.89
IA_O'BRIEN,0.96
IA_OSCEOLA,0.9520000000000001
IA_PAGE,0.9440000000000001
IA_PALOALTO,0.978
IA_PLYMOUTH,0.9640000000000001
IA_POCAHONTAS,0.975
IA_POLK,0.847
IA_POTTAWATTAMIE,0.929
IA_POWESHIEK,0.9490000000000001
IA_RINGGOLD,0.975
IA_SAC,0.978
IA_SCOTT,0.861
IA_SHELBY,0.9790000000000001
IA_SIOUX,0.9329999999999999
IA_STORY,0.8859999999999999
IA_TAMA,0.865
IA_TAYLOR,0.961
IA_UNION,0.9690000000000001
IA_VANBUREN,0.983
IA_WAPELLO,0.9209999999999999
IA_WARREN,0.971
IA_WASHINGTON,0.958
IA_WAYNE,0.98
IA_WEBSTER,0.9229999999999999
IA_WINNEBAGO,0.961
IA_WINNESHIEK,0.966
IA_WOODBURY,0.836
IA_WORTH,0.9790000000000001
IA_WRIGHT,0.948
KS_ALLEN,0.9329999999999999
KS_ANDERSON,0.968
KS_ATCHISON,0.91
KS_BARBER,0.961
KS_BARTON,0.888
KS_BOURBON,0.93
KS_BROWN,0.851
KS_BUTLER,0.935
KS_CHASE,0.9540000000000001
KS_CHAUTAUQUA,0.9079999999999999
KS_CHEROKEE,0.903
KS_CHEYENNE,0.977
KS_CLARK,0.924
KS_CLAY,0.973
KS_CLOUD,0.9640000000000001
KS_COFFEY,0.965
KS_COMANCHE,0.965
KS_COWLEY,0.862
KS_CRAWFORD,0.912
KS_DECATUR,0.9740000000000001
KS_DICKINSON,0.951
KS_DONIPHAN,0.9309999999999999
KS_DOUGLAS,0.845
KS_EDWARDS,0.9079999999999999
KS_ELK,0.951
KS_ELLIS,0.938
KS_ELLSWORTH,0.922
KS_FINNEY,0.77
KS_FORD,0.753
KS_FRANKLIN,0.937
KS_GEARY,0.662
KS_GOVE,0.982
KS_GRAHAM,0.9179999999999999
KS_GRANT,0.813
KS_GRAY,0.934
KS_GREELEY,0.917
KS_GREENWOOD,0.956
KS_HAMILTON,0.7929999999999999
KS_HARPER,0.946
KS_HARVEY,0.914
KS_HASKELL,0.855
