STATE_COUNTY,AFAMERPER
ID_MINIDOKA,0.004
ID_NEZPERCE,0.003
ID_ONEIDA,0.002
ID_OWYHEE,0.002
ID_PAYETTE,0.002
ID_POWER,0.003
ID_SHOSHONE,0.002
ID_TETON,0.002
ID_TWINFALLS,0.004
ID_VALLEY,0.001
ID_WASHINGTON,0.002
IL_ADAMS,0.035
IL_ALEXANDER,0.354
IL_BOND,0.061
IL_BOONE,0.02
IL_BROWN,0.185
IL_BUREAU,0.006
IL_CALHOUN,0.001
IL_CARROLL,0.008
IL_CASS,0.031
IL_CHAMPAIGN,0.124
IL_CHRISTIAN,0.013999999999999999
IL_CLARK,0.003
IL_CLAY,0.003
IL_CLINTON,0.035
IL_COLES,0.038
IL_COOK,0.248
IL_CRAWFORD,0.047
IL_CUMBERLAND,0.003
IL_DEKALB,0.064
IL_DEWITT,0.005
IL_DOUGLAS,0.003
IL_DUPAGE,0.046
IL_EDGAR,0.003
IL_EDWARDS,0.004
IL_EFFINGHAM,0.002
IL_FAYETTE,0.044000000000000004
IL_FORD,0.006
IL_FRANKLIN,0.003
IL_FULTON,0.034
IL_GALLATIN,0.002
IL_GREENE,0.009000000000000001
IL_GRUNDY,0.012
IL_HAMILTON,0.004
IL_HANCOCK,0.003
IL_HARDIN,0.003
IL_HENDERSON,0.002
IL_HENRY,0.016
IL_IROQUOIS,0.008
IL_JACKSON,0.14300000000000002
IL_JASPER,0.001
IL_JEFFERSON,0.084
IL_JERSEY,0.004
IL_JODAVIESS,0.005
IL_JOHNSON,0.08
IL_KANE,0.057
IL_KANKAKEE,0.151
IL_KENDALL,0.057
IL_KNOX,0.07200000000000001
IL_LAKE,0.07
IL_LASALLE,0.019
IL_LAWRENCE,0.096
IL_LEE,0.048
IL_LIVINGSTON,0.049
IL_LOGAN,0.075
IL_MCDONOUGH,0.05
IL_MCHENRY,0.011000000000000001
IL_MCLEAN,0.073
IL_MACON,0.163
IL_MACOUPIN,0.008
IL_MADISON,0.079
IL_MARION,0.039
IL_MARSHALL,0.003
IL_MASON,0.004
IL_MASSAC,0.059000000000000004
IL_MENARD,0.006
IL_MERCER,0.003
IL_MONROE,0.002
IL_MONTGOMERY,0.032
IL_MORGAN,0.06
IL_MOULTRIE,0.003
IL_OGLE,0.009000000000000001
IL_PEORIA,0.177
IL_PERRY,0.083
IL_PIATT,0.003
IL_PIKE,0.017
IL_POPE,0.06
IL_PULASKI,0.324
IL_PUTNAM,0.005
IL_RANDOLPH,0.09699999999999999
IL_RICHLAND,0.005
IL_ROCKISLAND,0.09
IL_STCLAIR,0.305
IL_SALINE,0.04
IL_SANGAMON,0.11800000000000001
IL_SCHUYLER,0.032
IL_SCOTT,0.002
IL_SHELBY,0.002
IL_STARK,0.005
IL_STEPHENSON,0.09
IL_TAZEWELL,0.01
IL_UNION,0.009000000000000001
IL_VERMILION,0.13
IL_WABASH,0.006
IL_WARREN,0.017
IL_WASHINGTON,0.006999999999999999
IL_WAYNE,0.003
IL_WHITE,0.004
IL_WHITESIDE,0.013000000000000001
IL_WILL,0.11199999999999999
IL_WILLIAMSON,0.038
IL_WINNEBAGO,0.122
IL_WOODFORD,0.005
IN_ADAMS,0.003
IN_ALLEN,0.11699999999999999
IN_BARTHOLOMEW,0.018000000000000002
IN_BENTON,0.005
IN_BLACKFORD,0.004
IN_BOONE,0.009000000000000001
IN_BROWN,0.003
IN_CARROLL,0.002
IN_CASS,0.015
IN_CLARK,0.069
IN_CLAY,0.003
IN_CLINTON,0.004
IN_CRAWFORD,0.002
IN_DAVIESS,0.005
IN_DEARBORN,0.006
IN_DECATUR,0.003
IN_DEKALB,0.004
IN_DELAWARE,0.069
IN_DUBOIS,0.003
IN_ELKHART,0.057
IN_FAYETTE,0.013000000000000001
IN_FLOYD,0.052000000000000005
IN_FOUNTAIN,0.002
IN_FRANKLIN,0.002
IN_FULTON,0.006999999999999999
IN_GIBSON,0.018000000000000002
IN_GRANT,0.07
IN_GREENE,0.001
IN_HAMILTON,0.035
IN_HANCOCK,0.021
IN_HARRISON,0.005
IN_HENDRICKS,0.049
IN_HENRY,0.022000000000000002
IN_HOWARD,0.069
IN_HUNTINGTON,0.004
IN_JACKSON,0.006999999999999999
IN_JASPER,0.006
IN_JAY,0.003
IN_JEFFERSON,0.017
IN_JENNINGS,0.008
IN_JOHNSON,0.011000000000000001
IN_KNOX,0.026000000000000002
IN_KOSCIUSKO,0.006999999999999999
IN_LAGRANGE,0.003
IN_LAKE,0.259
IN_LAPORTE,0.10800000000000001
IN_LAWRENCE,0.004
IN_MADISON,0.083
IN_MARION,0.267
IN_MARSHALL,0.005
IN_MARTIN,0.001
IN_MIAMI,0.045
IN_MONROE,0.033
IN_MONTGOMERY,0.009000000000000001
IN_MORGAN,0.003
IN_NEWTON,0.004
IN_NOBLE,0.004
IN_OHIO,0.004
IN_ORANGE,0.009000000000000001
IN_OWEN,0.003
