,STATE_COUNTY,TRUMP_N,TRUMP_%,CLINTON_N,CLINTON_%,PER_CAPITA_INCOME,YEAR_x,UNINSURED_RATE,YEAR_y,SOME_COLLEGE
246,GA_BURKE,4491,0.4803,4731,0.5059,16171.0,2017.0,0.184,2017.0,0.467
247,GA_BUTTS,6717,0.7088,2566,0.2708,20363.0,2017.0,0.176,2017.0,0.34600000000000003
248,GA_CALHOUN,830,0.4099,1179,0.5821999999999999,14868.0,2017.0,0.225,2017.0,0.324
249,GA_CAMDEN,12310,0.6524,5930,0.3143,22701.0,2017.0,0.136,2017.0,0.649
250,GA_CANDLER,2664,0.7079000000000001,1026,0.2727,17974.0,2017.0,0.228,2017.0,0.445
251,GA_CARROLL,30029,0.685,12464,0.2843,21227.0,2017.0,0.184,2017.0,0.493
252,GA_CATOOSA,20876,0.7868999999999999,4771,0.17980000000000002,21690.0,2017.0,0.16,2017.0,0.654
253,GA_CHARLTON,2951,0.7361,1004,0.2504,17102.0,2017.0,0.174,2017.0,0.302
254,GA_CHATHAM,45688,0.4098,62290,0.5587,25093.0,2017.0,0.186,2017.0,0.684
255,GA_CHATTAHOOCHEE,751,0.5403,594,0.4273,20042.0,2017.0,0.143,2017.0,0.711
256,GA_CHATTOOGA,6462,0.7831,1613,0.1955,16045.0,2017.0,0.193,2017.0,0.32799999999999996
257,GA_CHEROKEE,80649,0.7273000000000001,25231,0.2275,29615.0,2017.0,0.157,2017.0,0.693
258,GA_CLARKE,12717,0.2868,29603,0.6677,19295.0,2017.0,0.199,2017.0,0.703
259,GA_CLAY,566,0.4453,697,0.5484,12982.0,2017.0,0.197,2017.0,0.35100000000000003
260,GA_CLAYTON,12645,0.1367,78220,0.8454999999999999,17950.0,2017.0,0.228,2017.0,0.526
261,GA_CLINCH,1727,0.7058,686,0.2803,17815.0,2017.0,0.215,2017.0,0.461
262,GA_COBB,152912,0.4669,160121,0.4889,33069.0,2017.0,0.173,2017.0,0.7340000000000001
263,GA_COFFEE,9588,0.6890000000000001,4094,0.2942,17031.0,2017.0,0.224,2017.0,0.402
264,GA_COLQUITT,9898,0.7277,3463,0.2546,17025.0,2017.0,0.26,2017.0,0.401
265,GA_COLUMBIA,43085,0.6707,18887,0.294,30949.0,2017.0,0.119,2017.0,0.741
266,GA_COOK,4176,0.6912999999999999,1753,0.2902,18592.0,2017.0,0.227,2017.0,0.44299999999999995
267,GA_COWETA,42533,0.6933,16583,0.2703,26757.0,2017.0,0.141,2017.0,0.618
268,GA_CRAWFORD,3635,0.7042,1421,0.2753,20556.0,2017.0,0.19,2017.0,0.5329999999999999
269,GA_CRISP,4549,0.6056,2837,0.3777,18185.0,2017.0,0.173,2017.0,0.535
270,GA_DADE,5051,0.8092,965,0.15460000000000002,21690.0,2017.0,0.17,2017.0,0.507
