STATE_COUNTY,PER_CAPITA_INCOME
MN_BLUEEARTH,25380
MD_WICOMICO,25378
WI_BAYFIELD,25377
SD_MEADE,25375
IL_WHITE,25375
MI_OTTAWA,25371
NY_STEUBEN,25371
MN_RICE,25370
OH_MIAMI,25369
TN_DECATUR,25368
TX_BANDERA,25364
TN_WASHINGTONCOUNTY,25355
NE_MCPHERSON,25339
OH_PORTAGE,25332
NY_CHEMUNG,25329
KS_LOGAN,25328
NY_WAYNE,25327
OH_AUGLAIZE,25323
NE_HARLAN,25322
OR_GILLIAM,25320
IA_POWESHIEK,25318
IA_TAMA,25311
VA_NEWPORTNEWSCITY,25310
MN_YELLOWMEDICINE,25303
MO_ANDREW,25302
GA_HENRY,25299
OK_MCCLAIN,25293
NY_KINGS,25289
WI_EAUCLAIRE,25287
MN_CASS,25287
WI_KEWAUNEE,25282
IN_ALLEN,25279
WI_GREENLAKE,25275
IA_BUTLER,25269
AZ_PIMA,25269
NE_NEMAHA,25269
NE_FRONTIER,25262
KS_MARSHALL,25262
NE_KEYAPAHA,25251
MN_FILLMORE,25249
NC_CABARRUS,25247
VA_HAMPTONCITY,25247
VA_WESTMORELAND,25245
SD_HAMLIN,25233
NY_MADISON,25230
IL_CRAWFORD,25214
NE_KNOX,25214
NE_CHERRY,25213
MD_CAROLINE,25211
NE_BURT,25203
GA_HOUSTON,25195
OR_LINCOLN,25194
TX_COOKE,25186
NE_ANTELOPE,25186
AZ_YAVAPAI,25186
OR_HOODRIVER,25181
MS_DESOTO,25176
IA_HARDIN,25153
MN_WILKIN,25148
MO_CHRISTIAN,25134
VA_SHENANDOAH,25134
WI_DOUGLAS,25129
TX_LEE,25123
WY_BIGHORN,25119
KS_HASKELL,25114
VA_WASHINGTONCOUNTY,25109
NY_ONEIDA,25103
MO_CLINTON,25100
VA_AMELIA,25100
IL_IROQUOIS,25098
NE_KEITH,25097
IN_TIPTON,25093
GA_CHATHAM,25093
TN_RUTHERFORD,25077
LA_LIVINGSTON,25076
IA_CLAYTON,25074
MN_FARIBAULT,25065
IA_WINNESHIEK,25062
MI_BARRY,25059
IA_PALOALTO,25055
