YEAR,STATE_COUNTY,UNEMP_RATE
2017,WV_RANDOLPH,0.07
2017,GA_BERRIEN,0.07
2017,WV_WAYNE,0.07
2017,SC_COLLETON,0.07
2017,IL_POPE,0.07
2017,FL_GADSDEN,0.07
2017,NV_CHURCHILL,0.07
2017,VA_NORTON,0.07
2017,WV_RITCHIE,0.07
2017,GA_GREENE,0.07
2017,AL_ESCAMBIA,0.07
2017,KY_BOYD,0.07
2017,AL_MOBILE,0.07
2017,NM_SANJUAN,0.07
2017,IL_WAYNE,0.07
2017,WV_SUMMERS,0.07
2017,SC_HORRY,0.07
2017,AL_MARION,0.07
2017,MI_GOGEBIC,0.07
2017,DC_DISTRICTOFCOLUMBIA,0.069
2017,GA_CRISP,0.069
2017,VA_PAGE,0.069
2017,GA_WASHINGTON,0.069
2017,WA_OKANOGAN,0.069
2017,IL_GALLATIN,0.069
2017,TX_LIBERTY,0.069
2017,IL_MARION,0.069
2017,IL_PEORIA,0.069
2017,TX_CASS,0.069
2017,TN_UNION,0.069
2017,TN_MARION,0.069
2017,WV_MARION,0.069
2017,TN_HUMPHREYS,0.069
2017,SC_SUMTER,0.069
2017,SC_ABBEVILLE,0.069
2017,PA_PHILADELPHIA,0.069
2017,PA_BUCKS,0.069
2017,OR_LINN,0.069
2017,OR_JACKSON,0.069
2017,OR_BAKER,0.069
2017,KY_LINCOLN,0.069
2017,AR_LEE,0.069
2017,KY_UNION,0.069
2017,AR_IZARD,0.069
2017,LA_ALLEN,0.069
2017,AR_CLAY,0.069
2017,MA_DUKES,0.069
2017,NC_MITCHELL,0.069
2017,MI_EMMET,0.069
2017,MI_GLADWIN,0.069
2017,MN_MARSHALL,0.069
2017,NY_STLAWRENCE,0.069
2017,AL_LAUDERDALE,0.069
2017,MO_STCLAIR,0.069
2017,NJ_PASSAIC,0.069
2017,MO_LINN,0.069
2017,AL_HENRY,0.068
2017,WI_FLORENCE,0.068
2017,VA_BRUNSWICK,0.068
2017,IL_GRUNDY,0.068
2017,FL_INDIANRIVER,0.068
2017,MD_WICOMICO,0.068
2017,NV_PERSHING,0.068
2017,GA_CLINCH,0.068
2017,TN_POLK,0.068
2017,AR_COLUMBIA,0.068
2017,FL_HERNANDO,0.068
2017,LA_REDRIVER,0.068
2017,AK_KETCHIKANGATEWAYBOROUG,0.068
2017,TN_LAWRENCE,0.068
2017,IN_GREENE,0.068
2017,IL_CALHOUN,0.068
2017,TN_GRAINGER,0.068
2017,WI_DOOR,0.068
2017,LA_VERMILION,0.068
2017,KY_GRAYSON,0.068
2017,MS_WARREN,0.068
2017,NV_DOUGLAS,0.068
2017,VT_ESSEX,0.068
2017,WA_ADAMS,0.068
2017,IN_LAKE,0.068
2017,AL_PICKENS,0.068
2017,PA_POTTER,0.068
2017,IL_JEFFERSON,0.068
2017,VA_SUSSEX,0.068
2017,PA_HUNTINGDON,0.068
2017,MO_DOUGLAS,0.068
2017,GA_EARLY,0.068
2017,IL_KANKAKEE,0.068
2017,TX_MATAGORDA,0.068
2017,OR_LINCOLN,0.068
2017,NV_CLARK,0.068
2017,MN_KANABEC,0.068
2017,NY_HAMILTON,0.068
2017,MA_HAMPDEN,0.068
2017,VA_FRANKLIN,0.067
2017,GA_STEWART,0.067
2017,MO_MORGAN,0.067
2017,IL_STEPHENSON,0.067
2017,NY_MONTGOMERY,0.067
2017,NY_JEFFERSON,0.067
2017,IL_MARSHALL,0.067
2017,AR_WOODRUFF,0.067
2017,KS_WILSON,0.067
2017,AL_COOSA,0.067
2017,AL_PIKE,0.067
2017,OK_LEFLORE,0.067
2017,MO_HICKORY,0.067
2017,FL_HARDEE,0.067
2017,NC_PERSON,0.067
2017,NM_SANDOVAL,0.067
2017,GA_DECATUR,0.067
2017,WA_SKAGIT,0.067
2017,PA_CLINTON,0.067
2017,MS_LAUDERDALE,0.067
2017,NJ_ESSEX,0.067
2017,CA_LOSANGELES,0.067
2017,LA_STMARTIN,0.067
2017,LA_LASALLE,0.067
2017,MI_IRON,0.067
2017,CA_RIVERSIDE,0.067
2017,LA_ACADIA,0.067
2017,TN_HENRY,0.067
2017,VA_LANCASTER,0.067
2017,NC_HARNETT,0.067
2017,TN_SEQUATCHIE,0.067
2017,MN_CASS,0.067
2017,AR_INDEPENDENCE,0.067
2017,GA_QUITMAN,0.067
2017,IL_STARK,0.066
2017,TX_KINNEY,0.066
2017,MI_BENZIE,0.066
2017,GA_BIBB,0.066
2017,KY_TAYLOR,0.066
2017,GA_FLOYD,0.066
2017,GA_NEWTON,0.066
2017,FL_TAYLOR,0.066
2017,ID_CUSTER,0.066
2017,PA_SOMERSET,0.066
2017,GA_GLASCOCK,0.066
2017,LA_OUACHITA,0.066
2017,NC_BEAUFORT,0.066
2017,IL_STCLAIR,0.066
2017,MO_STODDARD,0.066
2017,NY_SCHUYLER,0.066
2017,SC_FLORENCE,0.066
2017,AL_TALLADEGA,0.066
2017,ME_SOMERSET,0.066
2017,AZ_COCONINO,0.066
2017,TN_BEDFORD,0.066
2017,KY_ROCKCASTLE,0.066
2017,MI_LUCE,0.066
2017,TN_CARTER,0.066
2017,MO_WASHINGTON,0.066
2017,AL_BIBB,0.066
