STATE_COUNTY,ASIANPER
IL_WILL,0.046
IL_WILLIAMSON,0.008
IL_WINNEBAGO,0.023
IL_WOODFORD,0.006
IN_ADAMS,0.002
IN_ALLEN,0.027000000000000003
IN_BARTHOLOMEW,0.034
IN_BENTON,0.002
IN_BLACKFORD,0.001
IN_BOONE,0.017
IN_BROWN,0.003
IN_CARROLL,0.001
IN_CASS,0.011000000000000001
IN_CLARK,0.008
IN_CLAY,0.002
IN_CLINTON,0.002
IN_CRAWFORD,0.002
IN_DAVIESS,0.005
IN_DEARBORN,0.004
IN_DECATUR,0.006999999999999999
IN_DEKALB,0.005
IN_DELAWARE,0.01
IN_DUBOIS,0.005
IN_ELKHART,0.01
IN_FAYETTE,0.003
IN_FLOYD,0.009000000000000001
IN_FOUNTAIN,0.002
IN_FRANKLIN,0.002
IN_FULTON,0.005
IN_GIBSON,0.005
IN_GRANT,0.006
IN_GREENE,0.003
IN_HAMILTON,0.048
IN_HANCOCK,0.008
IN_HARRISON,0.004
IN_HENDRICKS,0.021
IN_HENRY,0.003
IN_HOWARD,0.009000000000000001
IN_HUNTINGTON,0.004
IN_JACKSON,0.008
IN_JASPER,0.004
IN_JAY,0.004
IN_JEFFERSON,0.006999999999999999
IN_JENNINGS,0.002
IN_JOHNSON,0.02
IN_KNOX,0.006
IN_KOSCIUSKO,0.008
IN_LAGRANGE,0.003
IN_LAKE,0.012
IN_LAPORTE,0.005
IN_LAWRENCE,0.005
IN_MADISON,0.004
IN_MARION,0.02
IN_MARSHALL,0.005
IN_MARTIN,0.003
IN_MIAMI,0.003
IN_MONROE,0.052000000000000005
IN_MONTGOMERY,0.006
IN_MORGAN,0.004
IN_NEWTON,0.003
IN_NOBLE,0.004
IN_OHIO,0.003
IN_ORANGE,0.003
IN_OWEN,0.003
IN_PARKE,0.002
IN_PERRY,0.004
IN_PIKE,0.002
IN_PORTER,0.012
IN_POSEY,0.003
IN_PULASKI,0.002
IN_PUTNAM,0.006999999999999999
IN_RANDOLPH,0.002
IN_RIPLEY,0.005
IN_RUSH,0.003
IN_STJOSEPH,0.019
IN_SCOTT,0.004
IN_SHELBY,0.005
IN_SPENCER,0.003
IN_STARKE,0.002
IN_STEUBEN,0.005
IN_SULLIVAN,0.002
IN_SWITZERLAND,0.002
IN_TIPPECANOE,0.062
IN_TIPTON,0.004
IN_UNION,0.003
IN_VANDERBURGH,0.011000000000000001
IN_VERMILLION,0.002
IN_VIGO,0.017
IN_WABASH,0.004
IN_WARREN,0.004
IN_WARRICK,0.016
IN_WASHINGTON,0.003
IN_WAYNE,0.008
IN_WELLS,0.004
IN_WHITE,0.004
IN_WHITLEY,0.003
IA_ADAIR,0.003
IA_ADAMS,0.006
IA_ALLAMAKEE,0.002
IA_APPANOOSE,0.003
IA_AUDUBON,0.004
IA_BENTON,0.003
IA_BLACKHAWK,0.013000000000000001
IA_BOONE,0.003
IA_BREMER,0.006999999999999999
IA_BUCHANAN,0.004
IA_BUENAVISTA,0.055999999999999994
IA_BUTLER,0.002
IA_CALHOUN,0.002
IA_CARROLL,0.004
IA_CASS,0.002
IA_CEDAR,0.005
IA_CERROGORDO,0.009000000000000001
IA_CHEROKEE,0.005
IA_CHICKASAW,0.003
IA_CLARKE,0.004
IA_CLAY,0.006
